"ronda","sku","stock_inicial","requests","ventana_disparo_ms","duracion_total_ms","http_ok","ordenes_en_bd","ordenes_perdidas","confirmed","no_stock","otros_estados","stock_final","sobreventa","stock_negativo","invariante_ok"
"1","PROD-005","5","20","22,81","554,1","20","20","0","5","7","8","0","False","False","True"
"2","PROD-005","5","20","0,51","442,9","20","20","0","5","6","9","0","False","False","True"
"3","PROD-005","5","20","0,43","499,6","20","20","0","5","9","6","0","False","False","True"
