"ronda","sku","stock_inicial","requests","ventana_disparo_ms","duracion_total_ms","http_ok","ordenes_en_bd","ordenes_perdidas","confirmed","no_stock","otros_estados","huerfanas_pending","ejecuciones_error","stock_final","sobreventa","stock_negativo","invariante_ok"
"1","PROD-005","5","20","20,69","520","20","20","0","5","2","13","13","36","0","False","False","False"
"2","PROD-005","5","20","0,54","450,3","20","20","0","5","7","8","8","44","0","False","False","False"
"3","PROD-005","5","20","0,54","493,2","20","20","0","5","10","5","5","49","0","False","False","False"
